City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Biloli,IN,66.72,overcast clouds,18.7667,77.7333,Anand
2,Dingle,PH,77.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
3,Amboasary,MG,67.84,scattered clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
4,Abu Dhabi,AE,73.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
5,Bengkulu,ID,75.88,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
7,Rikitea,PF,76.32,overcast clouds,-23.1203,-134.9692,People ThankYou
8,Solano,US,66.52,haze,38.2333,-121.9511,Westwind Inn
9,Hokitika,NZ,58.48,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
11,Kiama,AU,56.68,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
12,Muncar,ID,78.39,overcast clouds,-8.4333,114.3333,Zaky Homestay
14,Atuona,PF,79.02,clear sky,-9.8,-139.0333,Villa Enata
15,Dingli,MT,59.16,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
17,New Norfolk,AU,56.7,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
20,Hanumangarh,IN,62.31,clear sky,29.5833,74.3167,SPOT ON 66636 Cps Resorts
21,Comodoro Rivadavia,AR,58.86,clear sky,-45.8667,-67.5,Austral Hotel
24,Ushuaia,AR,49.66,broken clouds,-54.8,-68.3,Albatros Hotel
25,Mataura,NZ,51.67,overcast clouds,-46.1927,168.8643,Ellie's Villa
26,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
27,Vila Franca Do Campo,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
28,Guane,CU,72.46,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
31,Moron,AR,73.29,few clouds,-34.6534,-58.6198,Hotel Morón
32,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti Beach Resort
33,Ancud,CL,53.13,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
34,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
36,Derbent,RU,46.33,broken clouds,42.0678,48.2899,Elit
37,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
39,Cabo San Lucas,MX,75.42,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
41,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
42,Port Alfred,ZA,66.11,overcast clouds,-33.5906,26.891,The Halyards Hotel
44,Vao,NC,76.32,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
45,Ribeira Grande,PT,63.79,broken clouds,38.5167,-28.7,Quinta da Meia Eira
48,Praia Da Vitoria,PT,59.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
49,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Bilma,NE,75.6,clear sky,18.6853,12.9164,Expeditions Ténére voyages
51,Pirojpur,BD,62.24,clear sky,22.5667,89.9833,"Circuit House, Pirojpur"
53,Eureka,US,58.39,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
54,Mali,GN,66.18,scattered clouds,12.079,-12.2982,Hotel La Dame de Mali
55,Chuy,UY,66.34,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
56,Palauig,PH,80.51,broken clouds,15.435,119.9045,Alperi Botique Resort
57,Rio Grande,BR,68.56,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
58,Bluff,NZ,50.31,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
60,Vanimo,PG,80.83,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
62,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
63,Mastung,PK,41.29,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
64,Saint George,US,66.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
68,Chiriqui Grande,PA,77.36,overcast clouds,8.95,-82.1167,Hotel Atlantic
70,Banyo,CM,69.04,few clouds,6.75,11.8167,Motel JOMBA
73,Jalu,LY,65.55,clear sky,29.0331,21.5482,صاحبة الفخامة
74,Hermanus,ZA,64.15,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
75,Pafos,CY,58.78,scattered clouds,34.7667,32.4167,Elysium Hotel
76,Hilo,US,75.47,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Dicabisagan,PH,76.12,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
79,Rio Brilhante,BR,77.9,broken clouds,-21.8019,-54.5464,Hotel Cattani
80,Esperance,AU,64.24,scattered clouds,-33.8667,121.9,Hospitality Esperance
81,Viedma,AR,62.85,clear sky,-40.8135,-62.9967,Hotel Cristal
83,Bandarban,BD,58.39,clear sky,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
85,Quime,BO,50.56,overcast clouds,-16.9833,-67.2167,Hostal Colibri
86,Arica,CL,67.55,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
87,Puerto Ayora,EC,70.03,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Namibe,AO,68.22,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
90,Portland,US,54.18,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
94,Loei,TH,54.77,overcast clouds,17.4167,101.5,Ban Aloi Resort
95,Sola,VU,80.78,few clouds,-13.8833,167.55,Leumerus Bungalows
96,East London,ZA,66.07,light rain,-33.0153,27.9116,Tu Casa
97,Benguela,AO,77.83,broken clouds,-12.5763,13.4055,Hotel Praia Morena
101,Umarkot,PK,70.41,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
104,Marawi,PH,71.11,overcast clouds,7.9986,124.2928,Derogongan Residence
105,Santa Cruz,BO,75.25,heavy intensity rain,-17.8,-63.1667,Aviador Hotel Boutique
107,Kundgol,IN,65.57,overcast clouds,15.25,75.25,Kaveri Bar and lodging
108,Nanortalik,GL,43.16,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
109,Castro,BR,69.3,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
110,Winnemucca,US,55.45,clear sky,40.973,-117.7357,Winners Inn Casino
111,Butaritari,KI,82.38,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
113,Richards Bay,ZA,65.05,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
114,Lebu,CL,55.18,clear sky,-37.6167,-73.65,Hostal Las Lilas
115,Houston,US,57.22,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
117,Lubumbashi,CD,61.02,scattered clouds,-11.6609,27.4794,Glo Flats
119,Weligama,LK,77.49,overcast clouds,5.9667,80.4167,Weligama Bay Resort
122,Antofagasta,CL,63.68,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
124,Hede,CN,46.49,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
125,Katsuura,JP,51.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
127,Constitucion,CL,57.4,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
129,San Quintin,MX,71.85,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
