City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,80.53,83,20,5.75,few clouds
1,Khatanga,RU,71.9667,102.5,-1.86,97,99,10.25,overcast clouds
2,Faya,SA,18.3851,42.4509,61.32,74,6,3.47,clear sky
3,Lashio,MM,22.9333,97.75,56.1,96,0,1.39,clear sky
4,Burnie,AU,-41.0667,145.9167,51.03,75,88,8.08,overcast clouds
5,Kaitangata,NZ,-46.2817,169.8464,42.91,94,100,4.25,overcast clouds
6,Itoman,JP,26.1247,127.6694,68.02,73,75,11.5,broken clouds
7,Codrington,AU,-38.2667,141.9667,49.84,88,13,10.27,few clouds
8,Hithadhoo,MV,-0.6,73.0833,81.12,71,76,13.58,broken clouds
9,Perpignan,FR,42.75,2.75,46.04,53,0,14.97,clear sky
10,Belaya Gora,RU,68.5333,146.4167,-39.33,100,41,0.98,scattered clouds
11,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,41,20,14.97,few clouds
12,Albany,US,42.6001,-73.9662,36.18,83,100,13.8,moderate rain
13,Atuona,PF,-9.8,-139.0333,78.04,77,6,18.66,clear sky
14,Pevek,RU,69.7008,170.3133,-26.79,100,96,6.24,overcast clouds
15,Jamestown,US,42.097,-79.2353,33.12,93,90,25.32,snow
16,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,100,4.61,light rain
17,Vao,NC,-22.6667,167.4833,75.34,87,45,13.71,scattered clouds
18,Port Alfred,ZA,-33.5906,26.891,65.89,80,98,35.41,overcast clouds
19,Dikson,RU,73.5069,80.5464,-7.87,100,100,7.54,overcast clouds
20,Vaini,TO,-21.2,-175.2,73.56,100,40,2.3,scattered clouds
21,Bluff,NZ,-46.6,168.3333,43.66,83,100,2.24,overcast clouds
22,Piacabucu,BR,-10.4056,-36.4344,85.03,60,81,10.69,broken clouds
23,Cidreira,BR,-30.1811,-50.2056,73.85,77,52,15.03,broken clouds
24,San Jose De Guanipa,VE,8.8872,-64.1651,90.82,44,84,8.05,broken clouds
25,Hurghada,EG,27.2574,33.8129,72.86,44,39,13.18,scattered clouds
26,Ponta Do Sol,PT,32.6667,-17.1,63.23,69,64,6.91,broken clouds
27,Souillac,MU,-20.5167,57.5167,79.18,73,40,2.3,scattered clouds
28,Sioux Lookout,CA,50.1001,-91.917,18.77,76,96,8.59,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,75.13,75,87,15.86,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,66.42,84,100,19.35,light rain
31,Chapais,CA,49.7834,-74.8492,24.58,93,100,10.71,light snow
32,Bambous Virieux,MU,-20.3428,57.7575,79.05,73,40,2.3,scattered clouds
33,Busselton,AU,-33.65,115.3333,64.54,74,68,9.82,broken clouds
34,Fortuna,US,40.5982,-124.1573,46.74,76,1,6.91,clear sky
35,Tuatapere,NZ,-46.1333,167.6833,41.0,95,100,3.2,overcast clouds
36,Carnarvon,AU,-24.8667,113.6333,73.47,60,0,9.22,clear sky
37,Kapaa,US,22.0752,-159.319,75.52,69,20,10.36,few clouds
38,Ushuaia,AR,-54.8,-68.3,51.42,47,98,14.88,overcast clouds
39,Tiksi,RU,71.6872,128.8694,2.41,86,100,5.59,overcast clouds
40,Mataura,NZ,-46.1927,168.8643,40.19,99,100,0.69,light rain
41,Saskylakh,RU,71.9167,114.0833,-15.48,96,90,6.4,overcast clouds
42,Jacareacanga,BR,-6.2222,-57.7528,89.91,70,20,4.61,few clouds
43,Kayankulam,IN,9.1833,76.5,74.68,95,100,4.27,overcast clouds
44,Hobart,AU,-42.8794,147.3294,44.46,87,2,8.05,clear sky
45,Nanortalik,GL,60.1432,-45.2371,42.66,99,100,13.56,light rain
46,Fort Myers Beach,US,26.452,-81.9481,78.89,50,1,3.44,clear sky
47,Prienai,LT,54.6333,23.95,34.07,84,100,7.25,overcast clouds
